Partner,Product,ikibinuc,ikibindort,ikibinbes,ikibinaltý,ikibinyedi,ikibinsekiz,ikibindokuz,ikibinon,ikibinonbir,ikibinoniki,ikibinonuc,ikibinondort,ikibinonbes,ikibinonaltý,ikibinonyedi,ikibinonsekiz,ikibinondokuz,ikibinyirmi,ikibinyirmibir,ikibinyirmiiki,ikibinyirmiuc,Period_Change,Reporter_Code,Partner_Code,Product_Code
KoreaSouth,BeefVeal,740593,0,0,448,117320,285020,208295,494683,648819,539303,557863,813706,766354,1013695,1147012,1667637,1769066,1653595,2316677,2663863,2047009,-23,US,KS,0600AT
KoreaSouth,Pork,1672,1861,82,686,2341,246,1213,1044,1146,1385,1141,1593,3768,4985,3402,3669,5369,8151,6306,6604,4664,-29,US,KS,0607AT
KoreaSouth,LambMutton,57,6,61,0,6,3,9,43,33,8,22,6,0,7,51,0,21,5,34,8,179,2054,US,KS,0609AT
KoreaSouth,OthMeat,68,3,0,8,40,3,0,0,0,0,0,0,0,5,0,5,16,0,0,6,0,US,KS,0616AT
China,BeefVeal,8835,28,83,89,608,658,379,942,0,0,0,121,3,0,30750,60283,85173,282266,1522636,1956992,1495926,-24,US,CH,0600AT
China,Pork,44,0,19,0,84,46,0,4,0,156,96,0,0,1292,0,3,0,0,223,0,312,US,CH,0607AT
China,OthMeat,0,75,0,0,213,87,0,326,0,75,0,0,0,0,58,0,0,0,503,0,44,US,CH,0616AT
China,LambMutton,0,0,0,0,25,0,0,5,0,0,0,0,0,0,121,0,0,0,0,0,0,US,CH,0609AT
Japan,BeefVeal,1153206,165,5005,64201,229872,354366,411188,545767,758814,902793,1181228,1327810,1012835,1137003,1528405,1753536,1563376,1572247,1855741,1798469,1356287,-25,US,JA,0600AT
Japan,Pork,6478,4526,3380,2708,4311,1538,1163,1610,2207,2817,825,5477,2321,5607,13466,18189,17742,69109,116041,179903,88795,-51,US,JA,0607AT
Japan,LambMutton,248,0,0,0,0,89,4,0,0,0,0,3,0,0,154,300,123,199,206,147,86,-41,US,JA,0609AT
Japan,OthMeat,1909,2742,3092,3332,190,0,0,0,0,0,0,0,0,0,29,52,0,0,25,0,0,US,JA,0616AT
Canada,BeefVeal,246646,56003,131979,334946,485569,581737,518729,597181,865914,989674,977431,809661,677362,574392,605016,561077,486143,542773,584094,619400,647375,5,US,CA,0600AT
Canada,Pork,33894,49072,54391,58824,75611,86758,91798,118199,163854,219081,281617,328038,273698,277262,282969,284093,280100,222417,322923,334013,274479,-18,US,CA,0607AT
Canada,LambMutton,265,803,1765,3170,2002,2591,824,641,1983,2942,3709,3971,2021,886,1811,934,707,507,352,958,791,-17,US,CA,0609AT
Canada,OthMeat,0,0,0,64,0,0,0,0,0,0,0,5,0,0,138,0,0,0,6,0,182,US,CA,0616AT
Mexico,BeefVeal,599635,371371,560144,767254,712848,872074,742707,643766,760843,609342,698282,894357,797270,707373,742010,824470,821009,618913,787692,696536,868634,25,US,MX,0600AT
Mexico,Pork,8282,6562,8283,7188,7285,11685,21549,29282,22898,33666,51680,71654,62759,51930,55569,46877,41894,34595,45971,48373,48322,US,MX,0607AT
Mexico,LambMutton,3992,4554,4808,9754,3548,2027,5707,6203,5418,6458,6061,5443,2826,2845,3099,2678,2812,1386,1469,2538,1982,-22,US,MX,0609AT
Mexico,OthMeat,1371,3589,3801,2971,378,92,160,12,84,0,607,1007,247,17,43,121,107,31,38,74,41,-44,US,MX,0616AT
HongKong,BeefVeal,67921,0,21,13714,34529,39973,78672,152387,218027,330698,783347,1064151,705848,612885,800906,869972,651409,573315,421366,327100,348928,7,US,HK,0600AT
HongKong,Pork,1468,1251,145,204,1780,636,389,466,852,618,837,1338,1938,1940,1691,1590,1238,1013,415,723,1106,53,US,HK,0607AT
HongKong,LambMutton,14,32,20,34,226,470,108,312,235,166,194,277,215,262,111,91,116,218,46,0,0,US,HK,0609AT
HongKong,OthMeat,0,72,0,0,0,0,0,0,163,649,157,23,0,649,368,3,0,34,19,12,0,US,HK,0616AT
Netherlands,BeefVeal,1308,1660,2544,3392,19932,50607,50740,77432,122124,122816,129856,137649,164329,136890,140644,124772,120208,120099,124196,184488,183346,-1,US,NL,0600AT
Netherlands,Pork,19,33,3,35,0,13,25,3,27,19,109,10,6,25,10,52,78,10,394,78,35,-56,US,NL,0607AT
Netherlands,LambMutton,31,20,87,66,457,1109,1976,1308,2587,107,91,60,107,1115,325,264,258,30,10,48,14,-70,US,NL,0609AT
Netherlands,OthMeat,12,283,0,0,30,6,0,19,0,0,3,0,0,0,0,37,5,0,0,0,0,US,NL,0616AT
DominicanRepublic,BeefVeal,3395,1312,5466,9823,15345,18894,16566,21973,28118,32063,33608,54344,58171,56291,51661,56151,58967,29748,75442,93647,103526,11,US,DR,0600AT
DominicanRepublic,Pork,381,167,348,291,509,799,1348,1021,1149,923,1250,1156,833,658,450,645,1346,1053,1971,1255,3212,156,US,DR,0607AT
DominicanRepublic,LambMutton,62,161,44,111,85,273,452,666,295,623,787,557,244,162,169,461,489,155,813,942,804,-15,US,DR,0609AT
DominicanRepublic,OthMeat,0,0,0,8,6,3,0,0,0,27,46,97,0,3,0,0,17,12,9,0,0,US,DR,0616AT
Philippines,BeefVeal,3678,4457,4141,5813,10238,17689,16679,20373,30051,35179,45733,51420,56472,48584,54044,73912,75754,56082,66225,144034,80716,-44,US,RP,0600AT
Philippines,Pork,0,179,516,312,65,509,30,2477,2996,2310,1225,959,1357,1906,2871,1925,2318,1490,597,1037,312,-70,US,RP,0607AT
Philippines,LambMutton,0,0,0,0,0,0,12,10,0,118,139,348,75,352,54,101,294,219,122,344,135,-61,US,RP,0609AT
Indonesia,BeefVeal,6861,5264,8959,0,0,2085,2360,13785,16913,7866,13093,19117,11831,32447,40359,48659,59484,54704,88126,103389,65305,-37,US,ID,0600AT
Indonesia,Pork,0,8,210,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,5,US,ID,0607AT
Indonesia,LambMutton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,US,ID,0609AT
UnitedArabEmirates,BeefVeal,8482,2279,4885,9082,13203,20502,18957,26509,37651,48310,55832,59465,64264,65155,61267,59965,59245,39483,57233,70409,62456,-11,US,AE,0600AT
UnitedArabEmirates,LambMutton,0,0,18,16,19,65,73,70,145,60,112,216,92,119,358,724,370,15,0,95,109,14,US,AE,0609AT
UnitedArabEmirates,Pork,22,54,0,40,0,0,0,0,10,4,30,3,0,107,10,0,99,0,352,14,14,1,US,AE,0607AT
UnitedArabEmirates,OthMeat,0,0,0,0,0,0,8,0,0,0,0,0,0,0,28,0,34,0,0,0,0,US,AE,0616AT
Italy,BeefVeal,128,1098,2280,2708,6974,8462,7566,31335,62888,53125,66849,78446,72665,58473,61886,48878,30863,10469,18958,27143,38800,43,US,IT,0600AT
Italy,LambMutton,30,149,273,20,304,392,269,233,615,88,38,64,54,295,202,202,580,22,24,3,16,372,US,IT,0609AT
Italy,Pork,0,0,0,21,0,74,4,0,3,0,63,30,0,0,0,0,0,0,0,0,0,US,IT,0607AT
Italy,OthMeat,66,640,356,289,0,4,0,0,0,0,0,0,0,0,0,6,52,0,0,0,0,US,IT,0616AT
Colombia,BeefVeal,1060,738,25,0,33,336,92,816,3479,2201,6138,9801,7972,12017,12697,17171,22507,17444,36060,43515,35012,-20,US,CO,0600AT
Colombia,Pork,29,12,63,27,14,159,381,618,706,1946,2834,3399,3183,5733,6307,5021,5644,1033,886,841,1186,41,US,CO,0607AT
Colombia,LambMutton,0,0,0,0,0,0,0,12,6,0,0,0,0,0,3,0,0,0,0,0,0,US,CO,0609AT
